City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
153,Westport,US,75.88,clear sky,41.1415,-73.3579,The Westport Inn
155,Owando,CG,70.23,broken clouds,-0.4819,15.8999,Exaunel Hotel Owando
158,Tonantins,BR,71.89,overcast clouds,-2.8731,-67.8022,Hotel Hortensias
160,Carutapera,BR,72.61,few clouds,-1.195,-46.02,Lidera
164,Arvin,US,74.34,clear sky,35.2091,-118.8284,Geo Rizo
165,Mandiana,GN,72.41,light rain,10.6333,-8.6833,Motels rouzo
174,Maraa,BR,71.26,moderate rain,-1.8333,-65.3667,
176,Estepona,ES,71.58,overcast clouds,36.4276,-5.1459,H10 Estepona Palace
179,Esperance,AU,73.17,few clouds,-33.8667,121.9,Hospitality Esperance
182,Alice Springs,AU,69.35,clear sky,-23.7,133.8833,Desert Palms Alice Springs
183,Yichun,CN,67.78,broken clouds,47.7,128.9,锦江酒店
185,Ravar,IR,74.55,clear sky,31.2656,56.8055,computertik
189,Chifeng,CN,79.66,clear sky,42.2683,118.9636,Junyu Tiancheng Hotel
190,Souillac,MU,71.98,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
191,Kaputa,ZM,65.39,broken clouds,-8.4689,29.6619,Chelelwa Charlets
192,Otukpo,NG,72.03,overcast clouds,7.1913,8.1329,Queen s Hotel
195,Rosetta,EG,65.62,clear sky,31.4044,30.4164,Green Valley
199,Shingu,JP,73.17,broken clouds,33.7333,135.9833,Shingu UI Hotel
203,Teguldet,RU,67.86,scattered clouds,57.3064,88.1667,
211,Itarema,BR,74.71,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
213,Aripuana,BR,68.32,clear sky,-9.1667,-60.6333,
214,Portland,US,69.78,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
220,New Iberia,US,76.1,clear sky,30.0035,-91.8187,La Quinta Inn & Suites by Wyndham New Iberia
221,Bria,CF,71.04,overcast clouds,6.5423,21.9863,WFP Guesthouse
222,Rincon,US,75.85,overcast clouds,32.296,-81.2354,Days Inn Rincon
223,Saint-Joseph,RE,66.58,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
228,Kyra,RU,69.58,overcast clouds,49.5776,111.9753,
231,Pingliang,CN,74.01,clear sky,35.5392,106.6861,North Gate Hostel
232,Mabaruma,GY,73.0,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
238,Yarmouth,US,66.67,mist,41.7057,-70.2286,Blue Rock Resort
240,Caravelas,BR,70.54,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
241,Karymskoye,RU,71.69,scattered clouds,51.6167,114.35,"Gostinitsa ""Oazis"""
242,Monrovia,LR,75.7,moderate rain,6.3005,-10.7969,Sunset Inn
244,Paita,PE,66.4,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
245,Kizukuri,JP,66.11,light rain,40.8061,140.3861,Kashiwa Roman-sō
249,Jumla,NP,66.13,overcast clouds,29.2747,82.1838,Royal Garden Hotel
251,Hovd,MN,68.14,broken clouds,48.0056,91.6419,Hotel Khovd
252,Flinders,AU,65.37,light rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
254,Cayenne,GF,77.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
256,Kaili,ID,76.86,scattered clouds,-3.4626,120.2147,
257,Watertown,US,73.85,clear sky,42.3709,-71.1828,16 Washburn Street Watertown MA
265,Nome,US,65.16,clear sky,64.5011,-165.4064,Dredge 7 Inn
274,Wakkanai,JP,75.18,few clouds,45.4094,141.6739,Hyōsetsu-sō
279,Coro,VE,77.27,clear sky,11.4045,-69.6734,Federal
281,Inirida,CO,71.24,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
283,San Cristobal,VE,71.78,few clouds,7.7669,-72.225,Pirineos
284,Broome,US,76.64,broken clouds,42.2506,-75.833,Chenango Valley State Park
285,Vila Franca Do Campo,PT,69.19,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
286,San Carlos,VE,77.29,broken clouds,9.6612,-68.5827,Hotel Paternopoli
288,Ambilobe,MG,74.19,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
289,Vao,NC,73.99,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
